,u1_mean,u1_var,u1_rms,u1_zcr,u1_skew,u1_kurt,u1_dom_freq,u1_spectral_centroid,u1_spectral_bandwidth,u1_spectral_entropy,u1_energy,u1_energy_ratio,u2_mean,u2_var,u2_rms,u2_zcr,u2_skew,u2_kurt,u2_dom_freq,u2_spectral_centroid,u2_spectral_bandwidth,u2_spectral_entropy,u2_energy,u2_energy_ratio,u3_mean,u3_var,u3_rms,u3_zcr,u3_skew,u3_kurt,u3_dom_freq,u3_spectral_centroid,u3_spectral_bandwidth,u3_spectral_entropy,u3_energy,u3_energy_ratio,u4_mean,u4_var,u4_rms,u4_zcr,u4_skew,u4_kurt,u4_dom_freq,u4_spectral_centroid,u4_spectral_bandwidth,u4_spectral_entropy,u4_energy,u4_energy_ratio,omega1,omega2,omega3,omega4,omega_weighted_mean,omega_spread,v_num_jumps,v_jump_mean,v_jump_max,v_jump_std,v_total_variation,v_energy,u1_perm_entropy,u1_sample_entropy,u1_kraskov_entropy,u2_perm_entropy,u2_sample_entropy,u2_kraskov_entropy,u3_perm_entropy,u3_sample_entropy,u3_kraskov_entropy,u4_perm_entropy,u4_sample_entropy,u4_kraskov_entropy
u1_mean,1.0,0.013825807055595178,0.012535385934347007,-0.004452312480846204,-0.005539186203449849,0.00047851882377507337,-0.0038073130578987198,-0.006544748033064955,-0.0022269833710948507,-0.0031595515205193703,0.008450677132333844,0.027971514714913867,0.6609045840100594,-0.013340466497138312,-0.011544234393549447,0.0067911471333910525,0.004470231970740915,0.022578515670129765,0.007028201390990937,0.007137639870666444,0.008721515395529593,0.009299016038847635,-0.012249419348272627,-0.019986395011705793,-0.21681590752323604,-0.01493313856846625,-0.015375128415512794,0.007337346977337718,-0.0008890410597542495,0.0080850778522154,0.008481431760712175,0.008642948246725353,0.016266888209774476,0.010283918232438039,-0.012933382012803673,-0.019178774485914176,-0.40113221145396905,-0.014288439284393698,-0.01034039058483455,0.004382118071971236,0.0013342739086426479,-0.0047931605272903055,0.00570535160798881,0.005017496034833861,0.018208358013600767,0.0016760246216651713,-0.011897313758413332,-0.005764881558015158,-0.0041676324767059795,0.006123638351288114,0.0074846799483167335,0.004320975236678444,-0.0026872444785296804,0.006650446010358678,-0.005507564110203725,0.011413324995586034,-0.012116487398525793,-0.0132105872464093,0.0005408449789398842,-0.00036466209832838604,-0.005562325343658023,0.01048231094982914,0.008288881713785811,0.008208661554048282,-0.012440574062544014,-0.007865689839764869,0.011535451758947156,-0.0050236478943630775,-0.008551763500759597,0.0046027776302198795,-0.014896142600142149,-0.0050106094875929565
u1_var,0.013825807055595178,1.0,0.915220511432006,0.06400953032661066,0.05223588973495277,-0.11517969671947177,0.06842178140185252,-0.005709972264523779,-0.20031402066158713,-0.10297163794197131,0.8931087620220678,0.14669944700284573,0.0023554216587114065,0.822597036245799,0.7736388313755198,-0.02592515282964867,6.114975878460184e-05,-0.15910345209397686,-0.02464275069978219,-0.04683216090965213,-0.14503026677018266,-0.13216266796617201,0.7494744377006297,-0.06030781281255948,-0.04268809049378313,0.6360277406549534,0.6790741546526962,-0.09473293095517137,-0.010560498764268502,-0.2025657780993111,-0.0944856673504768,-0.10426119965560733,-0.11531454283716683,-0.16999630893354284,0.6036797641416943,-0.07482913512968979,-0.0044545290104957905,0.4594814274832953,0.558190176875241,-0.17635171059107635,-0.0021025321939383704,-0.23446539485224557,-0.17618426108072818,-0.18247495287552148,-0.13195509798711405,-0.17095000564606974,0.47218607637460597,-0.08974444852911088,0.06740469762478482,-0.0256105135212982,-0.0946664199962035,-0.17684571585966338,-0.08322095699302313,-0.22470795602494034,0.607745556412487,-0.1513519335561079,0.08187664377143286,-0.21705179328150948,0.6467839662909749,0.6471944159665596,0.04683467567826613,0.012931750505788868,0.6291444044213717,-0.019739302300440128,0.06316682552959897,0.5659342987511249,-0.09160177984080718,0.12872982680206962,0.5818801478572551,-0.16692700756246,0.18673935567718467,0.5905703487515837
u1_rms,0.012535385934347007,0.915220511432006,1.0,0.008279261322908267,0.08483606479777246,-0.1884811645387898,0.015473599396991807,-0.08937905830019832,-0.24810474776293232,-0.17638309330610832,0.8176167307064228,0.22945591763380044,0.014804030953836743,0.7287631081091908,0.826527723589502,-0.10204939045598081,0.010648070579622127,-0.24702896450474096,-0.10018702187706106,-0.1298250006857367,-0.17245360399954932,-0.1977649465131143,0.6646090936801562,-0.08863995502441234,-0.040428082409295116,0.562494578364904,0.7217307699850211,-0.1803194317059762,-0.009254739375530507,-0.30774410806202684,-0.17974677233738443,-0.19233764481272192,-0.13328909570666206,-0.23886962545593715,0.5411073462473658,-0.12684475659588104,0.001069131894713793,0.4047594355395058,0.5858127790087359,-0.261065249025163,-0.0030657542169704117,-0.34321052754420306,-0.260986202272435,-0.26936566757263164,-0.15754574628805149,-0.224100154020851,0.42019698997327604,-0.1382518521071159,0.013041258479040304,-0.10193201089738402,-0.18033888629041683,-0.26162274726750356,-0.16200115243775165,-0.29254096558709014,0.5287918334438604,-0.24303015165902925,0.08284603557143483,-0.2263931667889164,0.5120737110589658,0.47344275651411705,-0.022478052487358062,0.05761748273954146,0.8295555620933017,-0.10156656355532204,0.1161012924070278,0.7290706691396184,-0.18872822470442624,0.19184343985992094,0.7410199378195992,-0.2625796794779914,0.250249640406341,0.7394860486529125
u1_zcr,-0.004452312480846204,0.06400953032661066,0.008279261322908267,1.0,0.088317695162214,0.4232914305096024,0.9977622828560174,0.9183664344922429,-0.358119275242007,0.583192308171683,0.0648272267309641,-0.3016296732501609,0.00523552839877738,0.16639638162616555,0.11351186512374124,0.7406501288947004,-0.012138588275649058,0.3198249423074602,0.7356254873206681,0.7298182524532933,-0.18102903964875977,0.25430501093586627,0.16774469268452638,-0.16009422850956884,0.01095970722972134,0.21267146555438407,0.20560941812475658,0.5727573879231772,-0.0006875526804622923,0.22489612616221422,0.56841120384286,0.5710472841310752,-0.15929420164604968,0.10783921481777149,0.21270631235939197,0.21396661998241276,0.003075041247976733,0.2609512519337265,0.29906049055603595,0.41523215628167665,0.05401546785892918,0.16660515482255264,0.41168812060666826,0.4162135980265252,-0.19951991759442256,0.011951629031040927,0.27803632682147994,0.39760843949721925,0.9994650885754806,0.7386643171179362,0.5712026206190096,0.4129746447138608,0.6920507937608936,-0.0076484781632105495,0.22514987213850557,0.10069070536398356,0.252455379511624,0.11227194536599677,0.1364736509737365,0.14712112659257587,0.9808314930434366,-0.4830043808997201,-0.32256633951279234,0.7354646961786518,-0.44326215705551714,-0.2163402633266685,0.5610028151950602,-0.3515364812810334,-0.089530720874118,0.36843385219547725,-0.27596217169696763,0.028022339422791226
u1_skew,-0.005539186203449849,0.05223588973495277,0.08483606479777246,0.088317695162214,1.0,-0.0480178160637541,0.09237991651165607,0.015281282350509195,-0.1597287250706092,0.0841162485957894,0.0495877104569614,0.03130107150943449,-0.005889623205716445,0.04209943050387193,0.06594852754555551,0.044433569466930736,0.17751701902065617,-0.010282918489625346,0.045308554569662665,0.03905250779111969,-0.03150167375416791,0.05700731498650164,0.04236776403920442,-0.059642140809526595,-0.007823584050811287,0.038674351122303,0.06736740292212766,0.02175597156214613,0.026715472833759964,-0.0174479614872259,0.022029763934148273,0.01965236313602413,-0.03179292846288874,0.037817339069327986,0.04015152587592074,-0.012825964474203264,0.01247455826750738,0.033111197633396816,0.06316466678672744,0.004339415152812162,0.009320080149353116,-0.000987817878738927,0.0030323454217646003,0.0043388510172921455,-0.026800614111945485,0.03804570438412521,0.03528860381708523,0.020952353283171892,0.09216107308967252,0.04432585970139595,0.02188500269846277,0.004167117606913984,0.03648351673271469,-0.037848581430548395,0.029516161350798154,-0.027048573084535583,0.03929708857269291,0.004592907299907092,0.028707826536866488,0.017780057239095207,0.06759646325114914,0.02809264099055518,0.09440433763289205,0.05051619131546779,-0.03352597517095046,0.04882716568713734,0.019998540619213287,-0.03506595150109447,0.059831772171795986,-0.003050108133465927,-0.03394822219490277,0.062128447695300515
u1_kurt,0.00047851882377507337,-0.11517969671947177,-0.1884811645387898,0.4232914305096024,-0.0480178160637541,1.0,0.4199080688516492,0.46331721038095713,-0.02273571076992334,0.32329740913171634,-0.08918685393204201,-0.21133443856687856,-0.0074024254082040225,-0.02702551978164949,-0.09784471572896798,0.37289876138181766,-0.03933397504508937,0.6057121396081557,0.36982985213261155,0.38188201089185375,-0.03100574357097628,0.192542824353376,-0.0034128950052368617,-0.047301299894223485,0.009428299170522004,0.014428038045696428,-0.03960857456584614,0.32022424155249823,0.07996896440150177,0.40443389651893924,0.3191566826105422,0.3246750198411832,-0.04509194708764482,0.1486455472927331,0.033760170610135226,0.1377414629790436,-0.005692721550725336,0.07371024561624794,0.03523140105452498,0.23515081688330458,0.04086976480175582,0.3689438763298837,0.2343447638639014,0.2386697695409207,-0.06682817793882022,0.09716890975517777,0.10513140234621685,0.22877441634436185,0.42242641987253293,0.3731410358851244,0.32044651765636506,0.23420072109273435,0.35963637830182266,0.0621048648775899,0.02023411038673079,0.1120068171640891,0.13375673366180144,0.12271805574818329,-0.015583900095834434,0.00774764093790348,0.416677985026241,-0.4694808019423541,-0.49910793764635775,0.34802023397844156,-0.38940095289453813,-0.40903752916290986,0.2982253055483982,-0.34666797339569655,-0.35354316263874713,0.205014082698207,-0.30359138600753466,-0.3045074713464846
u1_dom_freq,-0.0038073130578987198,0.06842178140185252,0.015473599396991807,0.9977622828560174,0.09237991651165607,0.4199080688516492,1.0,0.9124517925438537,-0.3656425046830099,0.5797003026905453,0.0681575777709962,-0.2897217171379822,0.005805143773408161,0.16570570326587475,0.11420469093962278,0.7327633199226107,-0.011003099672934797,0.316003218811633,0.7278045257835701,0.7216220787543617,-0.1812477870612881,0.24995383780374458,0.16613950461689342,-0.1656560079057193,0.010855621756729217,0.2104348433636012,0.20468318981146658,0.5644654440044422,-0.002435172817160075,0.22220872010422488,0.5601501552013969,0.5627570265090713,-0.15807816121639517,0.10387229554772341,0.20985011332581754,0.20723642664963446,0.0028084935450026194,0.257748389221762,0.29688104456309067,0.40689967034449864,0.055912072070273,0.1641450068304354,0.40336363701900707,0.4078610689551746,-0.1983599994300718,0.009488560659547016,0.27401167208227684,0.39141554520159527,0.998156703611172,0.7307979672649861,0.5629109873150971,0.40465073709930177,0.6837487870979283,-0.016163024991670456,0.22319953899055106,0.09733120679880625,0.2482772237141154,0.10989610708711996,0.1351534308143916,0.14611680253248985,0.9772028809088443,-0.4789663013764768,-0.3132044336859877,0.7291512309880692,-0.4409275606758529,-0.21299315797790636,0.5535574978521232,-0.3473115404759493,-0.08637091982958728,0.3608195332925423,-0.27146318862526314,0.030636763564022233
u1_spectral_centroid,-0.006544748033064955,-0.005709972264523779,-0.08937905830019832,0.9183664344922429,0.015281282350509195,0.46331721038095713,0.9124517925438537,1.0,0.0224252318479623,0.5085933966008342,-0.004562679861977155,-0.34451924223291713,0.005186565330900596,0.1204073653448013,0.04540088812296822,0.7121345099994363,-0.03956989747181883,0.3371691679910983,0.7070227547430198,0.7237952254123408,-0.05175178728126807,0.21675853714989216,0.1196116171901933,-0.11140029121914485,0.012633130160486386,0.17713414216921763,0.14194152272216176,0.5708742276222849,-0.0038424908348827815,0.2548868730159954,0.5667930544617438,0.5778228951909168,-0.0682465569971951,0.09378060529087753,0.17217536739471567,0.23347659870395424,0.0021404479626590195,0.23508998035190756,0.24365070749316084,0.4371765443446872,0.048887486534028704,0.20281364300139856,0.43425452780982754,0.4418431266947299,-0.11901803207896501,-0.006110281590693685,0.24547703488615769,0.397425368856992,0.9157833772457319,0.7105181867817513,0.5694608027873869,0.435242470885483,0.6762872460748229,0.05525047183948672,0.17686605687852616,0.13048234432695427,0.2237406729390811,0.12112201917465361,0.09590003009753259,0.11539076297795646,0.901822867274443,-0.5212696617380845,-0.4086716123558109,0.6947594948121256,-0.44183896488282115,-0.2766339131602273,0.5535647803803049,-0.369729980872733,-0.16416631752991775,0.3898194411366166,-0.303789296388058,-0.05903886319078445
u1_spectral_bandwidth,-0.0022269833710948507,-0.20031402066158713,-0.24810474776293232,-0.358119275242007,-0.1597287250706092,-0.02273571076992334,-0.3656425046830099,0.0224252318479623,1.0,-0.2687730727139546,-0.1987265676541453,-0.0324174494211911,0.0023176569701715893,-0.1683614207933086,-0.20382440620909156,-0.21489661178403063,-0.04590444560135446,-0.036908819093394656,-0.21492729908384114,-0.1598865670296706,0.35222742375188215,-0.13181285297379147,-0.17229363199830547,0.13828140986872606,0.002592473705684981,-0.14991251616057766,-0.21196008805996996,-0.1257021498565829,-0.012402926285685041,0.017442184999493654,-0.12442405826575084,-0.10320617403352825,0.2713309823961039,-0.045201817267992626,-0.1615984966251627,-0.004456301627650956,-0.0034243613894155076,-0.1350710919823313,-0.211056775272467,-0.03663290868474866,-0.020139830114913965,0.043908826935412516,-0.034837747407120895,-0.02720017736942092,0.24589423646126335,-0.03294801930755041,-0.15783185089090285,-0.07793569844645289,-0.36414773792145866,-0.2139720820321325,-0.12513682556780523,-0.035425941334941584,-0.17054090839123115,0.1287811001132961,-0.18325401019119694,0.036808724176808555,-0.12751121924535236,0.00356615548276002,-0.14926923302413062,-0.1291481825284957,-0.34849177089117417,0.030241211030958434,-0.1373271510841994,-0.23969018296247438,0.11235094874255419,-0.09578679635936316,-0.1355518288133863,0.04990770397558305,-0.15299428002148205,-0.03228951010218353,0.005606212183353239,-0.20699490354443906
u1_spectral_entropy,-0.0031595515205193703,-0.10297163794197131,-0.17638309330610832,0.583192308171683,0.0841162485957894,0.32329740913171634,0.5797003026905453,0.5085933966008342,-0.2687730727139546,1.0,0.03308913645250711,-0.26107156163591666,-0.014561487287385606,-0.037418156414491976,-0.0950503330159785,0.5066954023141359,0.017514314452168042,0.32502478352773284,0.5051360355161838,0.48617964107796063,-0.16822225201017088,0.7325651232296426,0.08434644942837753,-0.10231369430420634,0.00992362598825831,0.01603102978005326,-0.012635832014299325,0.4254764888175346,0.012647505076372785,0.29867192989401126,0.4230362771989246,0.4186844831729802,-0.13820880781826028,0.6375210147835206,0.1169876373261732,0.190893916597957,-0.003714425098512023,0.04919514131127998,0.06365362952666659,0.3575773236469827,0.030411224328728153,0.2896665389258783,0.3567719978728685,0.3592215520629219,-0.11036633211391708,0.5874610177269349,0.1390933001552998,0.30702395439319097,0.5835952983082054,0.5055556249563123,0.42455375099682274,0.35661482040368014,0.5011003045591564,0.12200753535907437,0.1726481460490068,-0.002704519542129966,0.17354278408725393,0.08834766835456323,0.10345242581659028,0.08106408757490255,0.6166567914602312,-0.11306547866404391,-0.40141866563170103,0.5467757929152715,-0.20638689484870398,-0.3314383122493127,0.4562290274519936,-0.19075188181996466,-0.2496729618863087,0.354184580044392,-0.18271434831487504,-0.1707835681083948
